Date;Filière;Valeur (TWh)
2007-01;"Production solaire";0,0005
2007-02;"Production solaire";0,0005
2007-03;"Production solaire";0,0005
2007-04;"Production solaire";0,0005
2007-05;"Production solaire";0,0005
2007-06;"Production solaire";0,0005
2007-07;"Production solaire";0,0005
2007-08;"Production solaire";0,0005
2007-09;"Production solaire";0,0005
2007-10;"Production solaire";0,0005
2007-11;"Production solaire";0,0005
2007-12;"Production solaire";0,0005
2008-01;"Production solaire";0,0013
2008-02;"Production solaire";0,0015
2008-03;"Production solaire";0,0017
2008-04;"Production solaire";0,002
2008-05;"Production solaire";0,002
2008-06;"Production solaire";0,0021
2008-07;"Production solaire";0,003
2008-08;"Production solaire";0,0027
2008-09;"Production solaire";0,0029
2008-10;"Production solaire";0,0025
2008-11;"Production solaire";0,002
2008-12;"Production solaire";0,0019
2009-01;"Production solaire";0,005
2009-02;"Production solaire";0,007
2009-03;"Production solaire";0,012
2009-04;"Production solaire";0,012
2009-05;"Production solaire";0,016
2009-06;"Production solaire";0,018
2009-07;"Production solaire";0,021
2009-08;"Production solaire";0,021
2009-09;"Production solaire";0,018
2009-10;"Production solaire";0,015
2009-11;"Production solaire";0,009
2009-12;"Production solaire";0,007
2010-01;"Production solaire";0,01
2010-02;"Production solaire";0,016
2010-03;"Production solaire";0,031
2010-04;"Production solaire";0,045
2010-05;"Production solaire";0,054
2010-06;"Production solaire";0,055
2010-07;"Production solaire";0,069
2010-08;"Production solaire";0,074
2010-09;"Production solaire";0,074
2010-10;"Production solaire";0,058
2010-11;"Production solaire";0,032
2010-12;"Production solaire";0,03
2011-01;"Production solaire";0,048
2011-02;"Production solaire";0,066
2011-03;"Production solaire";0,126
2011-04;"Production solaire";0,19
2011-05;"Production solaire";0,225
2011-06;"Production solaire";0,214
2011-07;"Production solaire";0,249
2011-08;"Production solaire";0,271
2011-09;"Production solaire";0,251
2011-10;"Production solaire";0,208
2011-11;"Production solaire";0,12
2011-12;"Production solaire";0,099
2012-01;"Production solaire";0,125
2012-02;"Production solaire";0,216
2012-03;"Production solaire";0,356
2012-04;"Production solaire";0,329
2012-05;"Production solaire";0,454
2012-06;"Production solaire";0,483
2012-07;"Production solaire";0,544
2012-08;"Production solaire";0,536
2012-09;"Production solaire";0,413
2012-10;"Production solaire";0,283
2012-11;"Production solaire";0,182
2012-12;"Production solaire";0,149
2013-01;"Production solaire";0,146
2013-02;"Production solaire";0,23
2013-03;"Production solaire";0,344
2013-04;"Production solaire";0,434
2013-05;"Production solaire";0,503
2013-06;"Production solaire";0,563
2013-07;"Production solaire";0,658
2013-08;"Production solaire";0,602
2013-09;"Production solaire";0,463
2013-10;"Production solaire";0,32
2013-11;"Production solaire";0,183
2013-12;"Production solaire";0,216
2014-01;"Production solaire";0,176353009
2014-02;"Production solaire";0,262653399
2014-03;"Production solaire";0,534329056
2014-04;"Production solaire";0,584358496
2014-05;"Production solaire";0,68160778
2014-06;"Production solaire";0,763466078
2014-07;"Production solaire";0,686151539
2014-08;"Production solaire";0,694398951
2014-09;"Production solaire";0,640457427
2014-10;"Production solaire";0,479939626
2014-11;"Production solaire";0,244431152
2014-12;"Production solaire";0,190263887
2015-01;"Production solaire";0,251855835
2015-02;"Production solaire";0,358930305
2015-03;"Production solaire";0,537183236
2015-04;"Production solaire";0,782949366
2015-05;"Production solaire";0,843757089
2015-06;"Production solaire";0,951891934
2015-07;"Production solaire";0,943417332
2015-08;"Production solaire";0,851805962
2015-09;"Production solaire";0,715988378
