Date;Filière;Valeur (GW)
T1-2020;"Nouvelles capacités ";0,181
T1-2021;"Nouvelles capacités ";0,592
T1-2022;"Nouvelles capacités ";1,021
T1-2023;"Nouvelles capacités ";0,67
T1-2024;"Nouvelles capacités ";1,032
T1-2025;"Nouvelles capacités ";1,48
T2-2020;"Nouvelles capacités ";0,173
T2-2021;"Nouvelles capacités ";0,693
T2-2022;"Nouvelles capacités ";0,596
T2-2023;"Nouvelles capacités ";0,804
T2-2024;"Nouvelles capacités ";1,097
T2-2025;"Nouvelles capacités ";1,219
T3-2020;"Nouvelles capacités ";0,305
T3-2021;"Nouvelles capacités ";0,625
T3-2022;"Nouvelles capacités ";0,669
T3-2023;"Nouvelles capacités ";0,824
T3-2024;"Nouvelles capacités ";1,387
T3-2025;"Nouvelles capacités ";1,515
T4-2020;"Nouvelles capacités ";0,216
T4-2021;"Nouvelles capacités ";0,821
T4-2022;"Nouvelles capacités ";0,687
T4-2023;"Nouvelles capacités ";1,045
T4-2024;"Nouvelles capacités ";1,433
T1-2020;"Parc installé";9,6619705890653
T1-2021;"Parc installé";10,947664491428
T1-2022;"Parc installé";14,107870946999
T1-2023;"Parc installé";16,729096921999
T1-2024;"Parc installé";20,434378017999
T1-2025;"Parc installé";25,831812784998
T2-2020;"Parc installé";9,8348885490653
T2-2021;"Parc installé";11,640606951428
T2-2022;"Parc installé";14,703308330999
T2-2023;"Parc installé";17,533249398999
T2-2024;"Parc installé";21,531689254998
T2-2025;"Parc installé";27,050079739998
T3-2020;"Parc installé";10,139716831428
T3-2021;"Parc installé";12,265935141428
T3-2022;"Parc installé";15,372563340999
T3-2023;"Parc installé";18,357730955999
T3-2024;"Parc installé";22,918309764998
T3-2025;"Parc installé";28,565879649998
T4-2020;"Parc installé";10,355848831428
T4-2021;"Parc installé";13,086941426773
T4-2022;"Parc installé";16,059126290999
T4-2023;"Parc installé";19,402923537999
T4-2024;"Parc installé";24,351511324998
T1-2020;"";9,6619705890653
T1-2021;"";10,947664491428
T1-2022;"";14,107870946999
T1-2023;"";16,729096921999
T1-2024;"";20,434378017999
T1-2025;"";25,831812784998
T2-2020;"";9,8348885490653
T2-2021;"";11,640606951428
T2-2022;"";14,703308330999
T2-2023;"";17,533249398999
T2-2024;"";21,531689254998
T2-2025;"";27,050079739998
T3-2020;"";10,139716831428
T3-2021;"";12,265935141428
T3-2022;"";15,372563340999
T3-2023;"";18,357730955999
T3-2024;"";22,918309764998
T3-2025;"";28,565879649998
T4-2020;"";10,355848831428
T4-2021;"";13,086941426773
T4-2022;"";16,059126290999
T4-2023;"";19,402923537999
T4-2024;"";24,351511324998
T1-2020;"Solar";0,181
T1-2021;"Solar";0,592
T1-2022;"Solar";1,021
T1-2023;"Solar";0,67
T1-2024;"Solar";1,032
T1-2025;"Solar";1,48
T2-2020;"Solar";0,173
T2-2021;"Solar";0,693
T2-2022;"Solar";0,596
T2-2023;"Solar";0,804
T2-2024;"Solar";1,097
T2-2025;"Solar";1,219
T3-2020;"Solar";0,305
T3-2021;"Solar";0,625
T3-2022;"Solar";0,669
T3-2023;"Solar";0,824
T3-2024;"Solar";1,387
T3-2025;"Solar";1,515
T4-2020;"Solar";0,216
T4-2021;"Solar";0,821
T4-2022;"Solar";0,687
T4-2023;"Solar";1,045
T4-2024;"Solar";1,433
